,date,/m/0292d3
420,2012-01-22,100.14535304547559
421,2012-01-29,53.23755202699486
422,2012-02-05,58.1253815533654
423,2012-02-12,107.01599364691701
424,2012-02-19,62.58948215211166
425,2012-02-26,101.49513253862025
426,2012-03-04,65.30374533752264
427,2012-03-11,0.0
428,2012-03-18,60.51958863678246
429,2012-03-25,0.0
430,2012-04-01,81.44232979565402
431,2012-04-08,0.0
432,2012-04-15,57.967438476766425
433,2012-04-22,26.94086230694177
434,2012-04-29,0.0
435,2012-05-06,90.68717193190099
436,2012-05-13,67.51744816981834
437,2012-05-20,36.67888617474865
438,2012-05-27,0.0
439,2012-06-03,55.43158841689223
440,2012-06-10,32.51014928708842
441,2012-06-17,27.873570573352758
442,2012-06-24,63.440542610047444
443,2012-07-01,85.66318371105334
444,2012-07-08,71.78760205409125
445,2012-07-15,32.04818734867581
446,2012-07-22,36.681447044541244
447,2012-07-29,41.1875638684467
448,2012-08-05,69.5366454039115
449,2012-08-12,0.0
450,2012-08-19,48.234605500193624
451,2012-08-26,45.22930555019108
452,2012-09-02,48.28302448532511
453,2012-09-09,38.669424738746336
454,2012-09-16,0.0
455,2012-09-23,35.41916052182829
456,2012-09-30,65.9428176710701
457,2012-10-07,30.24759322069445
458,2012-10-14,43.58319969441398
459,2012-10-21,0.0
460,2012-10-28,0.0
461,2012-11-04,57.61638393915222
462,2012-11-11,51.648578602037894
463,2012-11-18,21.27868269483927
464,2012-11-25,101.95111586713283
465,2012-12-02,0.0
466,2012-12-09,47.698831701187906
467,2012-12-16,43.84377692381736
468,2012-12-23,0.0
469,2012-12-30,113.26336888287443
470,2013-01-06,72.88801847564804
471,2013-01-13,30.804941078510122
472,2013-01-20,39.703556867761975
473,2013-01-27,52.00684056525577
474,2013-02-03,35.36294857325161
475,2013-02-10,0.0
476,2013-02-17,78.25098511575311
477,2013-02-24,19.50442255152326
478,2013-03-03,23.702054881807967
479,2013-03-10,82.02948505102638
480,2013-03-17,38.665940510511476
481,2013-03-24,53.34451500593249
482,2013-03-31,368.9447648001636
483,2013-04-07,341.2018162834562
484,2013-04-14,437.57714283261276
485,2013-04-21,329.4427091868441
486,2013-04-28,338.3753759624362
487,2013-05-05,188.96481957142825
488,2013-05-12,95.5806612762584
489,2013-05-19,31.195792515400143
490,2013-05-26,0.0
491,2013-06-02,49.05006895336207
492,2013-06-09,42.28181070708447
493,2013-06-16,29.241008909971303
494,2013-06-23,27.158390595278007
495,2013-06-30,73.70297232425519
496,2013-07-07,28.95531663818609
497,2013-07-14,32.301288714048624
498,2013-07-21,17.50814062541809
499,2013-07-28,53.96830010893756
500,2013-08-04,38.37580960832612
501,2013-08-11,27.411977563549584
502,2013-08-18,21.263430737092428
503,2013-08-25,50.18197823277958
504,2013-09-01,39.7443739016184
505,2013-09-08,26.13058478850317
506,2013-09-15,45.157145561001215
507,2013-09-22,72.90557080409948
508,2013-09-29,31.172747895564353
509,2013-10-06,0.0
510,2013-10-13,40.54564594246636
511,2013-10-20,47.91424400149563
512,2013-10-27,0.0
513,2013-11-03,29.581880658645595
514,2013-11-10,30.50570004133415
515,2013-11-17,44.48327685592279
516,2013-11-24,24.347634259298314
517,2013-12-01,63.912077703554964
518,2013-12-08,34.254380696636936
519,2013-12-15,48.88780603712577
520,2013-12-22,73.89256366930222
521,2013-12-29,51.96666848372656
522,2014-01-05,136.212830169593
