,date,/m/06n3pj
356,2010-10-31,326.6121669837654
357,2010-11-07,250.81971952245826
358,2010-11-14,114.74785564983256
359,2010-11-21,209.78602458276032
360,2010-11-28,173.13430782179182
361,2010-12-05,286.01297323805187
362,2010-12-12,241.37749243651825
363,2010-12-19,283.4177985833381
364,2010-12-26,364.9957979861138
365,2011-01-02,297.747550692598
366,2011-01-09,224.12795199297807
367,2011-01-16,286.4162844609448
368,2011-01-23,225.6610137081901
369,2011-01-30,276.99636258751485
370,2011-02-06,180.4063832447467
371,2011-02-13,281.23122464793107
372,2011-02-20,227.58618947913885
373,2011-02-27,313.3613261309993
374,2011-03-06,155.87191458625415
375,2011-03-13,254.18336762462818
376,2011-03-20,293.4124704814092
377,2011-03-27,234.43207145244565
378,2011-04-03,215.1563617503451
379,2011-04-10,203.72137509537566
380,2011-04-17,196.05165470232106
381,2011-04-24,193.0032721545822
382,2011-05-01,210.44092511888635
383,2011-05-08,145.13445582246868
384,2011-05-15,113.0337507655348
385,2011-05-22,203.93494133408825
386,2011-05-29,202.0383430047138
387,2011-06-05,95.30623042041287
388,2011-06-12,167.57954754302858
389,2011-06-19,157.85904086881794
390,2011-06-26,217.24814423261952
391,2011-07-03,218.81796961541153
392,2011-07-10,89.15669477780524
393,2011-07-17,109.12349398343075
394,2011-07-24,76.32972649639586
395,2011-07-31,142.04925653702142
396,2011-08-07,90.25574904141293
397,2011-08-14,135.41242480548917
398,2011-08-21,115.45876726613913
399,2011-08-28,159.29332375218027
400,2011-09-04,109.55957427382968
401,2011-09-11,204.89814622291007
402,2011-09-18,253.47631205088732
403,2011-09-25,181.93227778832642
404,2011-10-02,285.5193520419867
405,2011-10-09,304.9996121388129
406,2011-10-16,131.11682333084462
407,2011-10-23,254.06937448551434
408,2011-10-30,241.6432662573609
409,2011-11-06,289.5273604149964
410,2011-11-13,187.1094755565947
411,2011-11-20,245.67939457132735
412,2011-11-27,221.62849114883943
413,2011-12-04,282.1230047957156
414,2011-12-11,165.33653060540976
415,2011-12-18,203.35583554775792
416,2011-12-25,276.14209361941084
417,2012-01-01,285.8002634349898
418,2012-01-08,276.9550047548326
419,2012-01-15,280.8459068387278
420,2012-01-22,247.99571901939203
421,2012-01-29,264.98647672709654
