,date,/m/0g9pc
236,2008-07-13,2050.420979389927
237,2008-07-20,2607.1437157468404
238,2008-07-27,3744.5145475478726
239,2008-08-03,1616.9138637310878
240,2008-08-10,1779.9553072099882
241,2008-08-17,2139.1387075239927
242,2008-08-24,2532.1495675548585
243,2008-08-31,2629.681480627411
244,2008-09-07,1679.371732243868
245,2008-09-14,3610.6484566463378
246,2008-09-21,2225.674005013289
247,2008-09-28,2479.259658708999
248,2008-10-05,955.7014210796042
249,2008-10-12,954.4437141318552
250,2008-10-19,2696.9114611190266
251,2008-10-26,826.7892621647221
252,2008-11-02,4992.397426706926
253,2008-11-09,5237.076933974459
254,2008-11-16,1569.0319073685976
255,2008-11-23,1644.9056700849171
256,2008-11-30,3265.023336690253
257,2008-12-07,4264.501053790653
258,2008-12-14,1734.547495284582
259,2008-12-21,2602.835985687967
260,2008-12-28,2817.8970480362495
261,2009-01-04,3139.372429216355
262,2009-01-11,5005.834976844782
263,2009-01-18,2452.451404978918
264,2009-01-25,3858.3957975147264
265,2009-02-01,3887.8574583788422
266,2009-02-08,2462.346419496321
267,2009-02-15,3675.494202490944
268,2009-02-22,2041.9553675943027
269,2009-03-01,1664.9882888917489
270,2009-03-08,4234.990256090127
271,2009-03-15,2565.366702458741
272,2009-03-22,4818.940641823388
273,2009-03-29,10901.458560917043
274,2009-04-05,1625.4251875087568
275,2009-04-12,1994.3064659344077
276,2009-04-19,2367.35817527386
277,2009-04-26,7138.730087295184
278,2009-05-03,3469.7759254793764
279,2009-05-10,3073.70821080605
280,2009-05-17,2742.724389869068
281,2009-05-24,3645.7394101996842
282,2009-05-31,5411.370113393104
283,2009-06-07,2815.0745835977996
284,2009-06-14,2478.999865514017
285,2009-06-21,3677.0908282352207
286,2009-06-28,1013.8735962686779
287,2009-07-05,0.0
288,2009-07-12,4270.811225712169
289,2009-07-19,2681.1334012729226
290,2009-07-26,1685.7030805541665
291,2009-08-02,1545.0502630071135
292,2009-08-09,3550.2044996962068
293,2009-08-16,4392.7102367666175
294,2009-08-23,3759.9162666878224
295,2009-08-30,3359.156310667816
296,2009-09-06,3461.558807486604
297,2009-09-13,2994.710633037502
298,2009-09-20,3070.7334028000264
299,2009-09-27,2234.7463831282557
300,2009-10-04,2348.395129768579
301,2009-10-11,2094.522081349533
302,2009-10-18,4451.822237497667
303,2009-10-25,3231.108329574063
304,2009-11-01,3176.8502513263315
305,2009-11-08,2592.3378380667004
306,2009-11-15,2654.374532800401
307,2009-11-22,4848.992913305417
308,2009-11-29,3871.0330833199596
309,2009-12-06,2172.432300644524
310,2009-12-13,3554.3428144174823
