,date,/m/0n073
166,2007-03-11,1187.7385636565373
167,2007-03-18,1254.8791681122962
168,2007-03-25,1049.0203809610787
169,2007-04-01,1266.032947707988
170,2007-04-08,1126.2410285601175
171,2007-04-15,1286.5684407407075
172,2007-04-22,815.0601018006458
173,2007-04-29,1399.6652709155662
174,2007-05-06,687.8597039198266
175,2007-05-13,652.0658715339017
176,2007-05-20,415.59691063284725
177,2007-05-27,0.0
178,2007-06-03,269.14549675070384
179,2007-06-10,533.7786601558489
180,2007-06-17,229.47803312908255
181,2007-06-24,866.8161345839487
182,2007-07-01,721.071533717374
183,2007-07-08,719.8773822413781
184,2007-07-15,889.0634361325674
185,2007-07-22,698.8379882800273
186,2007-07-29,1964.5458706844922
187,2007-08-05,626.1894627762869
188,2007-08-12,451.3681726189254
189,2007-08-19,908.4084912970604
