,date,flu
231,2008-06-08,521.4756304686582
232,2008-06-15,499.08673176199227
233,2008-06-22,0.0
234,2008-06-29,563.0790915097102
235,2008-07-06,273.6302900577112
236,2008-07-13,441.12767503754117
237,2008-07-20,481.1295488710281
238,2008-07-27,253.5928030604995
239,2008-08-03,438.3011308720804
240,2008-08-10,552.6094922964548
241,2008-08-17,638.3600085067452
242,2008-08-24,511.66545455089454
243,2008-08-31,895.038014737928
244,2008-09-07,878.1186518591101
245,2008-09-14,1121.4771184866918
246,2008-09-21,1442.0653944773949
247,2008-09-28,1775.8842694287123
248,2008-10-05,3325.959977807096
249,2008-10-12,3175.1198465438583
250,2008-10-19,3622.9190674515007
251,2008-10-26,2695.4271258926346
252,2008-11-02,2441.91567741698
253,2008-11-09,3618.265485303927
254,2008-11-16,2445.9132634351868
255,2008-11-23,1299.3319520015423
256,2008-11-30,1860.8584853076566
257,2008-12-07,2125.4189380072285
258,2008-12-14,1272.7204126776232
259,2008-12-21,1112.845102851139
260,2008-12-28,1749.0603350181839
261,2009-01-04,1395.6482689028999
262,2009-01-11,1236.5193612444648
263,2009-01-18,782.0416075022251
264,2009-01-25,1735.2799978688108
265,2009-02-01,1127.2077490269348
266,2009-02-08,2243.850002246538
267,2009-02-15,2347.3969767461936
268,2009-02-22,1789.7751626512554
269,2009-03-01,2216.0365774345114
270,2009-03-08,1909.3085632189923
271,2009-03-15,991.9812111519042
272,2009-03-22,1151.0899717374361
273,2009-03-29,1212.355316965801
274,2009-04-05,737.5772340117676
275,2009-04-12,638.7435336465779
276,2009-04-19,3037.9605310690463
277,2009-04-26,102729.10087534656
278,2009-05-03,26191.27083049455
279,2009-05-10,10312.370499406648
280,2009-05-17,9349.720087700185
281,2009-05-24,5876.069390743638
282,2009-05-31,5777.054857941692
283,2009-06-07,8238.136064004999
284,2009-06-14,6596.566356732883
285,2009-06-21,5648.583012148642
286,2009-06-28,3605.962489698317
287,2009-07-05,3940.745027322859
288,2009-07-12,2685.491206750673
289,2009-07-19,2711.8333348662827
290,2009-07-26,3847.506199189484
291,2009-08-02,2864.5136432014015
292,2009-08-09,3884.9583107112776
293,2009-08-16,3955.636605880368
294,2009-08-23,7979.786706072915
295,2009-08-30,10138.964897591984
296,2009-09-06,13009.946270752362
297,2009-09-13,16354.643899153214
298,2009-09-20,13546.769541148695
299,2009-09-27,14440.689353950605
300,2009-10-04,18974.72266578716
301,2009-10-11,22828.24416537112
302,2009-10-18,33626.20997698747
303,2009-10-25,35595.072129981985
304,2009-11-01,19809.310640596013
305,2009-11-08,16126.07836809882
306,2009-11-15,11168.938024344881
307,2009-11-22,6581.59715879944
308,2009-11-29,5965.794213233394
309,2009-12-06,5322.525852311688
310,2009-12-13,3710.6327346579233
311,2009-12-20,2135.5963417067187
312,2009-12-27,2364.3444520683793
313,2010-01-03,3374.3790585637066
314,2010-01-10,2685.8503519426613
315,2010-01-17,2720.03368582747
316,2010-01-24,1740.0375696275773
317,2010-01-31,1568.673048236986
318,2010-02-07,1294.890418305207
319,2010-02-14,888.6656680851419
320,2010-02-21,1236.4105248535236
321,2010-02-28,1051.3141882368611
322,2010-03-07,1611.6200930081777
323,2010-03-14,1074.1950387893264
324,2010-03-21,976.8532554503303
325,2010-03-28,720.875054810788
326,2010-04-04,976.1621146715079
327,2010-04-11,647.4556070096245
328,2010-04-18,978.4880266322398
329,2010-04-25,864.4281441161734
330,2010-05-02,636.3285035322037
331,2010-05-09,953.3185454589859
332,2010-05-16,882.5821270060095
333,2010-05-23,710.776909939179
334,2010-05-30,593.7995869282336
335,2010-06-06,420.70005487341973
336,2010-06-13,261.43287723794816
337,2010-06-20,727.3860236745741
338,2010-06-27,491.0671839477475
339,2010-07-04,283.0100082766756
340,2010-07-11,567.7704334079325
341,2010-07-18,844.5352760184942
342,2010-07-25,664.0030656552539
343,2010-08-01,575.8550358496317
344,2010-08-08,424.57813813616093
345,2010-08-15,481.3147927092929
346,2010-08-22,776.2746892222012
347,2010-08-29,1249.2512721314133
348,2010-09-05,1934.4057102168815
349,2010-09-12,2218.7539985961916
350,2010-09-19,2022.7746380974354
351,2010-09-26,2693.7684054527276
352,2010-10-03,3291.507532054347
353,2010-10-10,3473.7778199779605
354,2010-10-17,3469.657376694619
355,2010-10-24,2654.335956857332
356,2010-10-31,2185.040924180125
357,2010-11-07,2165.293204653859
358,2010-11-14,2137.1335672306577
359,2010-11-21,2141.7189719704284
360,2010-11-28,2011.5950573392486
361,2010-12-05,1956.0631533073106
362,2010-12-12,1527.6045157960043
363,2010-12-19,2477.5167012689276
364,2010-12-26,2707.551452447019
365,2011-01-02,2739.262752555268
366,2011-01-09,2001.6698694972881
367,2011-01-16,2112.013936228387
368,2011-01-23,2739.6425545693382
369,2011-01-30,2074.1728044738343
370,2011-02-06,2428.3884832948715
371,2011-02-13,2443.6633288233643
372,2011-02-20,2626.9120572192037
373,2011-02-27,2016.5209294334277
374,2011-03-06,1938.8583625465026
375,2011-03-13,1655.048591292786
376,2011-03-20,1289.3090902106753
377,2011-03-27,1187.9346368573958
378,2011-04-03,965.0195024626919
379,2011-04-10,949.2205760291403
380,2011-04-17,721.6589235888586
381,2011-04-24,868.8397479602012
382,2011-05-01,819.642975800165
383,2011-05-08,669.184366703087
384,2011-05-15,769.5406313685456
385,2011-05-22,479.2970897202894
386,2011-05-29,762.6367637483596
387,2011-06-05,478.18202589352205
388,2011-06-12,618.6590266518439
389,2011-06-19,683.632396441051
390,2011-06-26,405.44166063933534
391,2011-07-03,530.7159422277696
392,2011-07-10,362.5156323017865
393,2011-07-17,394.44743081021034
394,2011-07-24,436.1661110603667
395,2011-07-31,570.8833510796624
396,2011-08-07,609.2858112555539
397,2011-08-14,727.5416548637098
398,2011-08-21,573.7785362255955
399,2011-08-28,1098.6483398343903
400,2011-09-04,1414.3412682754981
401,2011-09-11,1516.623731918078
402,2011-09-18,2459.562983205
403,2011-09-25,2228.2301122173167
404,2011-10-02,3404.249869502723
405,2011-10-09,3107.982817958679
406,2011-10-16,3026.4913956546247
407,2011-10-23,2607.818072084536
408,2011-10-30,2071.5031998529757
409,2011-11-06,1997.5111295712559
410,2011-11-13,1889.7995572406217
411,2011-11-20,1304.4534231892521
412,2011-11-27,1673.3362988370163
413,2011-12-04,1788.7452513071783
414,2011-12-11,1373.3386856706177
415,2011-12-18,1277.5094900082204
416,2011-12-25,1695.5944454496596
417,2012-01-01,1594.9176696721388
418,2012-01-08,1763.0075601272044
419,2012-01-15,1523.528035977031
420,2012-01-22,1323.3987652540127
421,2012-01-29,1354.9461075386998
422,2012-02-05,1126.9772203584778
423,2012-02-12,1595.6640933907786
424,2012-02-19,1717.525672636793
425,2012-02-26,1321.5240466491152
426,2012-03-04,1502.6079384863717
427,2012-03-11,1203.3985993522388
428,2012-03-18,1101.757407223249
429,2012-03-25,1102.4338490043608
430,2012-04-01,883.7886535554321
431,2012-04-08,1033.9377168393878
432,2012-04-15,972.5457250971297
433,2012-04-22,1122.2519895255016
434,2012-04-29,706.1736857868937
435,2012-05-06,675.6020428096629
436,2012-05-13,875.2948419328759
437,2012-05-20,791.8826499815365
438,2012-05-27,688.9155874134995
439,2012-06-03,759.1717254237709
440,2012-06-10,679.7517804727687
441,2012-06-17,655.8485534084084
442,2012-06-24,358.28691158963744
443,2012-07-01,523.3924776069769
444,2012-07-08,679.8238938257
445,2012-07-15,388.97559279906847
446,2012-07-22,574.5347968242587
447,2012-07-29,670.6944064748157
448,2012-08-05,760.7219866329408
449,2012-08-12,1148.7485352396207
450,2012-08-19,1022.8357696639649
451,2012-08-26,1237.0192397429591
452,2012-09-02,1472.5130794918555
453,2012-09-09,2129.368610090841
454,2012-09-16,2133.89385638051
455,2012-09-23,2691.2477698964226
456,2012-09-30,2487.3920669701706
457,2012-10-07,3009.146573239651
458,2012-10-14,2601.9128633729847
459,2012-10-21,2780.444628510693
460,2012-10-28,1646.8781919854719
461,2012-11-04,1916.0050625984306
462,2012-11-11,2024.686918247591
463,2012-11-18,1769.147164808661
464,2012-11-25,2045.7897011468067
465,2012-12-02,3166.4588368626296
466,2012-12-09,3168.007288861113
467,2012-12-16,3149.1609974362214
468,2012-12-23,4191.593253652806
469,2012-12-30,6461.0299102147765
470,2013-01-06,20456.145453354045
471,2013-01-13,14863.529901901617
472,2013-01-20,6997.640485608817
473,2013-01-27,5234.213134148659
474,2013-02-03,3549.578088749998
475,2013-02-10,2612.478227402706
476,2013-02-17,3149.172124377739
477,2013-02-24,2386.415485340419
478,2013-03-03,2367.7274942503323
479,2013-03-10,2273.9042131010074
480,2013-03-17,2124.5995986068447
481,2013-03-24,1743.9048533343057
482,2013-03-31,1971.3674699811393
483,2013-04-07,1415.0438218973209
484,2013-04-14,1728.3961005354852
485,2013-04-21,880.8462706627295
486,2013-04-28,1062.430202060634
487,2013-05-05,880.8243644482095
488,2013-05-12,738.1308758959854
489,2013-05-19,640.820352813183
490,2013-05-26,657.6562616121888
491,2013-06-02,762.4199616658441
492,2013-06-09,515.099647515182
493,2013-06-16,411.22744448133136
494,2013-06-23,535.9846292212377
495,2013-06-30,558.1907376278408
496,2013-07-07,535.4031878289239
497,2013-07-14,551.6409242519597
498,2013-07-21,755.784999800707
499,2013-07-28,631.4313993354938
500,2013-08-04,543.4489539273849
501,2013-08-11,742.3772045523024
502,2013-08-18,664.6414921455122
503,2013-08-25,966.5886831354526
504,2013-09-01,1316.3507016614794
505,2013-09-08,1983.5964948945045
506,2013-09-15,2528.0393848922417
507,2013-09-22,3269.1998019741013
508,2013-09-29,3057.824254032695
509,2013-10-06,3382.3233188550776
510,2013-10-13,3361.293331649263
511,2013-10-20,3241.996408775478
512,2013-10-27,3206.6312387403555
513,2013-11-03,2908.1292994960922
514,2013-11-10,2409.364270739211
515,2013-11-17,1827.5546025587817
516,2013-11-24,1663.3737221560148
517,2013-12-01,1813.6900558907473
518,2013-12-08,1952.70167227042
519,2013-12-15,2127.1567753590552
520,2013-12-22,2614.1859839327763
521,2013-12-29,4453.117337813215
522,2014-01-05,5920.092919475635
523,2014-01-12,4750.987041829116
524,2014-01-19,4518.789616176567
525,2014-01-26,3534.96750123422
526,2014-02-02,2649.7356557207518
527,2014-02-09,2090.645802978927
528,2014-02-16,2281.9998770147627
529,2014-02-23,1956.5126520886738
530,2014-03-02,1882.5685505685412
