,date,strep
173,2007-04-29,769.9925912115729
174,2007-05-06,531.1752681613192
175,2007-05-13,520.7004380831585
176,2007-05-20,214.13289604084866
177,2007-05-27,494.39077754313087
178,2007-06-03,908.4027515269283
179,2007-06-10,976.1640577249958
180,2007-06-17,581.5928820870665
181,2007-06-24,433.7626653138157
182,2007-07-01,590.8399989865494
183,2007-07-08,451.4674567201658
184,2007-07-15,390.86702506995425
185,2007-07-22,537.6117361711968
186,2007-07-29,531.1034371068191
187,2007-08-05,1043.060368165776
188,2007-08-12,506.52021262935705
189,2007-08-19,161.88334894424943
190,2007-08-26,489.6665897750051
191,2007-09-02,479.1924032978258
192,2007-09-09,625.2438642157607
193,2007-09-16,667.9628360520811
194,2007-09-23,621.9494527800267
195,2007-09-30,649.4280670681476
196,2007-10-07,759.1129972060596
