,date,strep
168,2007-03-25,1045.5818796108351
169,2007-04-01,961.5860300024034
170,2007-04-08,400.9930069179617
171,2007-04-15,462.4165067424253
172,2007-04-22,768.5779680151105
173,2007-04-29,632.1907471060875
174,2007-05-06,367.3520545557424
175,2007-05-13,493.6323645597412
176,2007-05-20,777.4519279062038
177,2007-05-27,828.8574753635833
178,2007-06-03,713.0763965890314
179,2007-06-10,766.7502512355818
180,2007-06-17,770.9338485487385
181,2007-06-24,604.7568171295902
182,2007-07-01,764.8392864842101
183,2007-07-08,354.3053985666161
184,2007-07-15,358.26166303469626
185,2007-07-22,611.5904012117184
186,2007-07-29,538.6221570528647
187,2007-08-05,434.64830389139263
188,2007-08-12,380.05226684514565
189,2007-08-19,437.18529042227397
190,2007-08-26,199.41238731126109
191,2007-09-02,576.9358059343456
