,date,the flu
443,2012-07-01,0.0
444,2012-07-08,126.4439645127583
445,2012-07-15,0.0
446,2012-07-22,190.3042489554409
447,2012-07-29,0.0
448,2012-08-05,221.26252439095447
449,2012-08-12,150.18957313304387
450,2012-08-19,127.65431213302263
451,2012-08-26,0.0
452,2012-09-02,0.0
453,2012-09-09,173.9705122974119
454,2012-09-16,354.7094957326037
455,2012-09-23,189.3031635261008
456,2012-09-30,649.5204706850185
457,2012-10-07,297.106473448349
458,2012-10-14,466.2407530347534
459,2012-10-21,273.99395445482395
460,2012-10-28,115.00328675808308
461,2012-11-04,307.3543083506419
462,2012-11-11,505.71393197797096
463,2012-11-18,0.0
464,2012-11-25,395.98788507088136
465,2012-12-02,626.1981991132981
466,2012-12-09,610.7109300876361
467,2012-12-16,870.2278742055151
468,2012-12-23,932.039530883731
469,2012-12-30,1622.3336762720633
470,2013-01-06,4651.992615632065
471,2013-01-13,5121.106835921849
472,2013-01-20,2524.4183694736694
473,2013-01-27,1365.681681456668
474,2013-02-03,1288.4456442096973
475,2013-02-10,781.7952581486007
476,2013-02-17,999.2959991357981
477,2013-02-24,670.5712023958672
478,2013-03-03,495.01741844255986
479,2013-03-10,829.837154188138
480,2013-03-17,571.5458060411385
481,2013-03-24,725.7631243679355
482,2013-03-31,213.95706493578348
483,2013-04-07,176.21165352480435
484,2013-04-14,379.9145540116186
485,2013-04-21,431.93918427445413
486,2013-04-28,337.47502583245364
487,2013-05-05,152.7384409832943
488,2013-05-12,132.38552639179497
489,2013-05-19,163.5683190709167
490,2013-05-26,0.0
491,2013-06-02,139.12740794473402
492,2013-06-09,0.0
493,2013-06-16,193.36219657184523
494,2013-06-23,0.0
495,2013-06-30,53.60769969236726
496,2013-07-07,102.06022636419212
497,2013-07-14,111.58913168322825
498,2013-07-21,165.02433498756395
499,2013-07-28,265.9369558276564
500,2013-08-04,160.13218384789005
501,2013-08-11,67.05742516798702
502,2013-08-18,192.55103724696886
503,2013-08-25,196.05774173730194
504,2013-09-01,239.83324032194446
505,2013-09-08,120.58861525112755
506,2013-09-15,325.81550472524964
507,2013-09-22,198.61116506610102
508,2013-09-29,242.97530931759994
509,2013-10-06,416.97272642003685
510,2013-10-13,346.89484472918076
511,2013-10-20,543.0408299659963
512,2013-10-27,490.1404744371084
513,2013-11-03,414.6658538017697
514,2013-11-10,562.6876462795361
515,2013-11-17,476.62096967048876
516,2013-11-24,410.8356593654647
517,2013-12-01,417.5619949989884
518,2013-12-08,410.0670365756799
519,2013-12-15,468.0659850232537
520,2013-12-22,527.5898517155225
521,2013-12-29,679.7113877444307
522,2014-01-05,754.9228501764705
523,2014-01-12,878.8366162232272
524,2014-01-19,753.5885955099998
525,2014-01-26,822.6510577861627
526,2014-02-02,563.117124442609
527,2014-02-09,660.4547430695544
528,2014-02-16,563.7496362244206
529,2014-02-23,489.6732963773359
530,2014-03-02,544.701447208456
531,2014-03-09,481.13780372389834
532,2014-03-16,637.6078572428141
533,2014-03-23,431.6507557271779
534,2014-03-30,483.607753242553
535,2014-04-06,564.5279240925695
536,2014-04-13,617.7328837943786
537,2014-04-20,399.5687354095728
538,2014-04-27,325.94004912259436
539,2014-05-04,369.12251183624113
540,2014-05-11,156.38263817167308
541,2014-05-18,233.7276496971432
542,2014-05-25,208.3784635884824
543,2014-06-01,223.83734201622565
544,2014-06-08,144.12367289795023
545,2014-06-15,180.04653760756162
546,2014-06-22,189.78741945465762
547,2014-06-29,94.15196296083172
548,2014-07-06,202.50745974102423
549,2014-07-13,0.0
550,2014-07-20,230.32289869384846
551,2014-07-27,0.0
552,2014-08-03,64.1243972162529
553,2014-08-10,0.0
554,2014-08-17,232.04441922251397
555,2014-08-24,192.73036938734293
556,2014-08-31,221.067084195361
557,2014-09-07,208.27213441529017
558,2014-09-14,293.2650165328381
559,2014-09-21,543.2114857368864
560,2014-09-28,554.181460357822
561,2014-10-05,717.552626741976
562,2014-10-12,725.715555098771
563,2014-10-19,804.8788521268292
564,2014-10-26,701.5434125048778
565,2014-11-02,551.0391060851271
566,2014-11-09,354.288406027262
567,2014-11-16,449.35933969536336
568,2014-11-23,407.75299553806263
569,2014-11-30,578.6679705288307
570,2014-12-07,505.2753634083021
571,2014-12-14,879.3128377772191
572,2014-12-21,885.6508518520108
573,2014-12-28,1375.8398541452423
574,2015-01-04,1583.961783733775
575,2015-01-11,1236.4667839547885
576,2015-01-18,1358.1814513073143
577,2015-01-25,899.1526234334553
578,2015-02-01,1011.923107308057
579,2015-02-08,946.4677384771429
580,2015-02-15,610.5211724807099
581,2015-02-22,501.91193976038886
582,2015-03-01,401.497893557072
583,2015-03-08,576.8296969126245
584,2015-03-15,443.4199504050914
585,2015-03-22,330.786414538257
586,2015-03-29,317.40895003897924
587,2015-04-05,445.2603407335646
588,2015-04-12,403.2914935880053
589,2015-04-19,245.13491433699687
590,2015-04-26,226.04424084852727
591,2015-05-03,326.2171110109735
592,2015-05-10,130.05459647237902
593,2015-05-17,65.42071016554225
594,2015-05-24,128.4852173906331
595,2015-05-31,182.6764201175489
596,2015-06-07,65.4184419584184
597,2015-06-14,83.32093132946842
598,2015-06-21,70.01150636638091
599,2015-06-28,0.0
600,2015-07-05,0.0
601,2015-07-12,88.39660097867304
602,2015-07-19,187.2577253538293
603,2015-07-26,0.0
604,2015-08-02,227.48580700497803
605,2015-08-09,292.0972361021975
606,2015-08-16,134.85929926941432
607,2015-08-23,216.74439700215768
608,2015-08-30,203.8325134104206
609,2015-09-06,122.96517639010145
610,2015-09-13,319.0049176751685
611,2015-09-20,523.3126974905591
612,2015-09-27,449.2270857142606
613,2015-10-04,626.0613328662472
614,2015-10-11,349.653793481078
615,2015-10-18,593.1618163694842
616,2015-10-25,453.62895498880044
617,2015-11-01,316.96409563960225
618,2015-11-08,377.16667548280503
619,2015-11-15,529.3439166665065
620,2015-11-22,388.9760930093666
621,2015-11-29,329.29893268931477
622,2015-12-06,367.3689115961253
623,2015-12-13,457.64914003566736
624,2015-12-20,405.6562017850928
625,2015-12-27,333.97453584841446
626,2016-01-03,596.4655085597423
627,2016-01-10,449.4420643720833
628,2016-01-17,353.17089017900304
629,2016-01-24,433.3681368144618
630,2016-01-31,447.2852983276357
631,2016-02-07,462.0551675409149
632,2016-02-14,652.324225200776
633,2016-02-21,850.318400821888
634,2016-02-28,954.5259044426967
635,2016-03-06,1122.9583785102038
636,2016-03-13,825.0809704234482
637,2016-03-20,835.2962562039985
638,2016-03-27,609.8908387530405
639,2016-04-03,451.3952075035041
640,2016-04-10,444.72716562456776
641,2016-04-17,562.7677775034942
642,2016-04-24,277.4985156199923
643,2016-05-01,495.4051653583486
644,2016-05-08,263.8960364949167
645,2016-05-15,348.6217120490621
646,2016-05-22,308.04155347985466
647,2016-05-29,212.15005908928535
648,2016-06-05,259.4361095100837
649,2016-06-12,100.72761590191713
650,2016-06-19,66.80096667225139
651,2016-06-26,53.76860380106633
652,2016-07-03,0.0
653,2016-07-10,0.0
654,2016-07-17,77.41579279607258
655,2016-07-24,109.66757644115225
656,2016-07-31,165.13282634545556
657,2016-08-07,199.84585464104143
658,2016-08-14,196.05253841980954
659,2016-08-21,129.4778969187066
660,2016-08-28,81.91874558930812
661,2016-09-04,219.21060585003255
662,2016-09-11,216.32334542589882
663,2016-09-18,309.2827538900013
664,2016-09-25,505.40980702756474
665,2016-10-02,586.8862692616055
666,2016-10-09,544.9092246569194
667,2016-10-16,507.5128069808286
668,2016-10-23,546.6118798877828
669,2016-10-30,499.8859948930061
670,2016-11-06,667.4240502986071
671,2016-11-13,474.7176431449334
672,2016-11-20,358.11317788388425
673,2016-11-27,507.23363353481454
674,2016-12-04,425.95335389378414
675,2016-12-11,543.2866004087102
676,2016-12-18,641.325390640423
677,2016-12-25,1011.6387991673619
678,2017-01-01,1049.3183825438302
679,2017-01-08,1027.4302838292117
680,2017-01-15,1085.4816953700304
681,2017-01-22,1155.8138172734343
682,2017-01-29,1441.9085335847853
683,2017-02-05,1356.6414340533365
684,2017-02-12,1071.326053632791
685,2017-02-19,1008.5293320364667
686,2017-02-26,875.7019714879067
687,2017-03-05,628.4492112490182
688,2017-03-12,539.1225284181045
689,2017-03-19,591.2615624390768
690,2017-03-26,629.2525506740161
691,2017-04-02,486.96662631766185
692,2017-04-09,330.44638925251354
693,2017-04-16,330.0904910268825
694,2017-04-23,269.22624436945034
695,2017-04-30,309.65082622102466
696,2017-05-07,241.280179123338
697,2017-05-14,253.2043661375344
698,2017-05-21,125.0000502845917
699,2017-05-28,172.26960872861804
700,2017-06-04,90.57397426994848
701,2017-06-11,198.38540124309768
702,2017-06-18,58.22789273165089
703,2017-06-25,95.88690635836987
704,2017-07-02,103.87899714555999
705,2017-07-09,0.0
706,2017-07-16,60.824011807130354
707,2017-07-23,191.84709670095071
708,2017-07-30,171.58413620696047
709,2017-08-06,97.88440661308861
710,2017-08-13,195.9182576553926
711,2017-08-20,76.24140044600207
712,2017-08-27,182.12402119446998
713,2017-09-03,302.1505543363917
714,2017-09-10,325.15550530143497
715,2017-09-17,440.9575251747314
716,2017-09-24,465.75673623073254
717,2017-10-01,433.13308226539476
718,2017-10-08,544.1553663939836
719,2017-10-15,583.6315725081796
720,2017-10-22,498.48280516566575
721,2017-10-29,487.22656469817105
722,2017-11-05,483.8749494096255
723,2017-11-12,608.94576011027
724,2017-11-19,401.996375501745
725,2017-11-26,509.18852246435165
726,2017-12-03,538.4323510465756
727,2017-12-10,933.3410338690544
728,2017-12-17,613.3301575268054
729,2017-12-24,1201.3289965272434
730,2017-12-31,1200.4530162656115
731,2018-01-07,1874.7524720127772
732,2018-01-14,3529.2551335311205
733,2018-01-21,4851.0925261090715
734,2018-01-28,5547.3583887188925
735,2018-02-04,5017.678954435237
